NOTATION,INSP_AREA,STREET_NO,STREET_NAME,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,ADDRESS,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Neighborhood
CONDEMNATION,850,3577,ALASKA AV                       ,HAZARD  ,CBHCODE ,  ,3577 ALASKA AV,VACANT  ,N,1401518,424431,'011300020006      ,1
CONDEMNATION,820,588,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,588 BLAIR AV,VACANT  ,N,1402834,421956,'010700080150      ,1
KEEP THE BUILDING VACANT,820,589,BLAIR AV                        ,CIVIL2  ,CBHCODE ,  ,589 BLAIR AV,VACANT  ,N,1403010,421775,'010600030118      ,1
KEEP THE BUILDING VACANT,820,591,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,591 BLAIR AV,VACANT  ,N,1403056,421766,'010600030117      ,1
KEEP THE BUILDING VACANT,820,817,BLAIR AV                        ,ORDERS  ,CBHCODE ,  ,817 BLAIR AV,VACANT  ,N,1403517,421781,'010500030098      ,1
CONDEMNATION,820,826,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,826 BLAIR AV,VACANT  ,N,1403667,421923,'010700100109      ,1
KEEP THE BUILDING VACANT,820,830,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,830 BLAIR AV,VACANT  ,N,1403726,421915,'010700100089      ,1
CONDEMNATION,820,832,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,832 BLAIR AV,VACANT  ,N,1403773,421938,'010700100096      ,1
KEEP THE BUILDING VACANT,820,836,BLAIR AV                        ,ORDERS  ,CBHCODE ,  ,836 BLAIR AV,VACANT  ,N,1403825,421913,'010700100099      ,1
CONDEMNATION,820,854,BLAIR AV                        ,FINLNOTC,CBHCODE ,  ,854 BLAIR AV,VACANT  ,N,1404035,421896,'010700100104      ,1
CONDEMNATION,820,883,BLAIR AV                        ,CIVIL2  ,CBHCODE ,  ,883 BLAIR AV,VACANT  ,N,1404397,421691,'006000030100      ,1
CONDEMNATION,820,889,BLAIR AV                        ,CRIMINAL,CBHCODE ,  ,889 BLAIR AV,VACANT  ,N,1404515,421681,'006000030003      ,1
CONDEMNATION,820,921,BLAIR CT                        ,ORDERS  ,CBHCODE ,  ,921 BLAIR CT,VACANT  ,N,1404953,421645,'006000030016      ,1
CONDEMNATION,830,3585,BOGART AV                       ,CIVIL2  ,CBHCODE ,  ,3585 BOGART AV,VACANT  ,N,1403527,424229,'011200060065      ,1
CONDEMNATION,830,3589,BOGART AV                       ,ORDERS  ,CBHCODE ,  ,3589 BOGART AV,VACANT  ,N,1403555,424270,'011200060096      ,1
KEEP THE BUILDING VACANT,830,3593,BOGART AV                       ,CIVIL1  ,CBHCODE ,  ,3593 BOGART AV,VACANT  ,N,1403555,424313,'011200060012      ,1
CONDEMNATION,830,3597,BOGART AV                       ,FINLNOTC,CBHCODE ,  ,3597 BOGART AV,VACANT  ,N,1403578,424360,'011200060083      ,1
CONDEMNATION,420,3115,BORRMAN AV                      ,FINLNOTC,CBHCODE ,  ,3115 BORRMAN AV,VACANT  ,N,1402642,419705,'010500010072      ,1
CONDEMNATION,420,3117,BORRMAN AV                      ,HAZARD  ,CBHCODE ,  ,3117 BORRMAN AV,VACANT  ,N,1402644,419737,'010500010074      ,1
CONDEMNATION,420,3121,BORRMAN AV                      ,ORDERS  ,CBHCODE ,  ,3121 BORRMAN AV,VACANT  ,N,1402643,419797,'010500010077      ,1
CONDEMNATION,420,3123,BORRMAN AV                      ,FINLNOTC,CBHCODE ,  ,3123 BORRMAN AV,VACANT  ,N,1402650,419821,'010500010078      ,1
CONDEMNATION,420,3125,BORRMAN AV                      ,FINLNOTC,CBHCODE ,  ,3125 BORRMAN AV,VACANT  ,N,1402650,419846,'010500010079      ,1
KEEP THE BUILDING VACANT,420,3002,BURNET AV                       ,ORDERS  ,CBHCODE ,  ,3002 BURNET AV,VACANT  ,N,1401014,419172,'009100010019      ,1
CONDEMNATION,820,514,CARPLIN PL                      ,FINLNOTC,CBHCODE ,  ,514 CARPLIN PL,VACANT  ,N,1401959,421161,'010600030140      ,1
CONDEMNATION,820,536,CARPLIN PL                      ,ORDERS  ,CBHCODE ,  ,536 CARPLIN PL,VACANT  ,N,1402256,421124,'010600030092      ,1
KEEP THE BUILDING VACANT,820,539,CARPLIN PL                      ,ORDERS  ,CBHCODE ,  ,539 CARPLIN PL,VACANT  ,N,1402282,421015,'010600030101      ,1
CONDEMNATION,820,823,CLEVELAND AV                    ,FINLNOTC,CBHCODE ,  ,823 CLEVELAND AV,VACANT  ,N,1404033,422129,'010700100084      ,1
CONDEMNATION,820,827,CLEVELAND AV                    ,FINLNOTC,CBHCODE ,  ,827 CLEVELAND AV,VACANT  ,N,1404133,422133,'010700100094      ,1
KEEP THE BUILDING VACANT,820,936,CLEVELAND AV                    ,ORDERS  ,CBHCODE ,  ,936 CLEVELAND AV,VACANT  ,N,1404708,422334,'010700110080      ,1
KEEP THE BUILDING VACANT,820,940,CLEVELAND AV                    ,CIVIL2  ,CBHCODE ,  ,940 CLEVELAND AV,VACANT  ,N,1404757,422331,'010700110082      ,1
CONDEMNATION,820,3320,DREXEL PL                       ,ORDERS  ,CBHCODE ,  ,3320 DREXEL PL,VACANT  ,N,1404346,421542,'006000030105      ,1
KEEP THE BUILDING VACANT,850,3575,EDEN AV                         ,ORDERS  ,CBHCODE ,  ,3575 EDEN AV,VACANT  ,N,1400261,424563,'021600450112      ,1
CONDEMNATION,850,3590,EDEN AV                         ,PREPROS ,CBHCODE ,  ,3590 EDEN AV,VACANT  ,N,1400422,424680,'021600450113      ,1
CONDEMNATION,850,83,EHRMAN AV                       ,PREPROS ,CBHCODE ,  ,83 EHRMAN AV,VACANT  ,N,1399399,424994,'021600470178      ,1
KEEP THE BUILDING VACANT,850,91,EHRMAN AV                       ,CIVIL1  ,CBHCODE ,  ,91 EHRMAN AV,VACANT  ,N,1399464,424963,'021600470180      ,1
CONDEMNATION,850,217,EHRMAN AV                       ,PREPROS ,CBHCODE ,  ,217 EHRMAN AV,VACANT  ,N,1400169,424851,'021600450057      ,1
CONDEMNATION,850,217,EHRMAN AV                       ,ORDERS  ,CBHCODE ,  ,217 EHRMAN AV,VACANT  ,N,1400169,424851,'021600450057      ,1
CONDEMNATION,850,236,ERKENBRECHER AV                 ,HAZARD  ,CBHCODE ,  ,236 ERKENBRECHER AV,VACANT  ,N,1400090,422383,'011300050081      ,1
KEEP THE BUILDING VACANT,850,17,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,17 FOREST AV,VACANT  ,N,1398430,425049,'021600470175      ,1
CONDEMNATION,850,154,FOREST AV                       ,FINLNOTC,CBHCODE ,  ,154 FOREST AV,VACANT  ,N,1399603,424008,'021600440048      ,1
CONDEMNATION,850,206,FOREST AV                       ,FINLNOTC,CBHCODE ,  ,206 FOREST AV,VACANT  ,N,1399919,424000,'021600440091      ,1
KEEP THE BUILDING VACANT,850,225,FOREST AV                       ,FINLNOTC,CBHCODE ,  ,225 FOREST AV,VACANT  ,N,1400152,423788,'021600440130      ,1
KEEP THE BUILDING VACANT,850,227,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,227 FOREST AV,VACANT  ,N,1400187,423788,'021600440166      ,1
KEEP THE BUILDING VACANT,850,233,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,233 FOREST AV,VACANT  ,N,1400270,423797,'021600440169      ,1
KEEP THE BUILDING VACANT,850,302,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,302 FOREST AV,VACANT  ,N,1400624,423932,'021600430030      ,1
CONDEMNATION,850,348,FOREST AV                       ,CRIMINAL,CBHCODE ,  ,348 FOREST AV,VACANT  ,N,1401190,423852,'021600430053      ,1
KEEP THE BUILDING VACANT,850,400,FOREST AV                       ,CIVIL2  ,CBHCODE ,  ,400 FOREST AV,VACANT  ,N,1401473,423923,'011300020010      ,1
KEEP THE BUILDING VACANT ,850,400,FOREST AV                       ,CIVIL1  ,CBHCODEC,  ,400 FOREST AV,VACANT  ,N,1401473,423923,'011300020010      ,1
CONDEMNATION,850,400,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,400 FOREST AV,VACANT  ,N,1401473,423923,'011300020010      ,1
CONDEMNATION,830,521,FOREST AV                       ,HAZARD  ,CBHCODEC,  ,521 FOREST AV,VACANT  ,N,1402378,423512,'011300010016      ,1
KEEP THE BUILDING VACANT,830,617,FOREST AV                       ,FINLNOTC,CBHCODE ,  ,617 FOREST AV,VACANT  ,N,1402942,423458,'010700090003      ,1
KEEP THE BUILDING VACANT,830,618,FOREST AV                       ,PREPROS ,CBHCODE ,  ,618 FOREST AV,VACANT  ,N,1402991,423674,'011200060115      ,1
CONDEMNATION,830,641,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,641 FOREST AV,VACANT  ,N,1403310,423391,'010700090009      ,1
KEEP THE BUILDING VACANT,830,641,FOREST AV                       ,ORDERS  ,CBHCODE ,  ,641 FOREST AV,VACANT  ,N,1403310,423391,'010700090009      ,1
VACATE THE BUILDING,830,644,FOREST AV                       ,CIVIL2  ,CBHCODE ,  ,644 FOREST AV,VACANT  ,N,1403271,423621,'011200060026      ,1
KEEP THE BUILDING VACANT,830,644,FOREST AV                       ,CIVIL2  ,CBHCODE ,  ,644 FOREST AV,VACANT  ,N,1403271,423621,'011200060026      ,1
KEEP THE BUILDING VACANT,850,105,GLENRIDGE PL                    ,PREPROS ,CBHCODE ,  ,105 GLENRIDGE PL,VACANT  ,N,1400551,426857,'021600390259      ,1
KEEP THE BUILDING VACANT,850,71,GLENWOOD AV                     ,CIVIL1  ,CBHCODE ,  ,71 GLENWOOD AV,VACANT  ,N,1400565,427006,'021600390241      ,1
KEEP THE BUILDING VACANT,830,533,GLENWOOD AV                     ,CIVIL2  ,CBHCODE ,  ,533 GLENWOOD AV,VACANT  ,N,1402169,424660,'011300020058      ,1
CONDEMNATION,830,689,GLENWOOD AV                     ,HAZARD  ,CBHCODE ,  ,689 GLENWOOD AV,VACANT  ,N,1403930,424218,'011200050036      ,1
KEEP THE BUILDING VACANT,810,851,GLENWOOD AV                     ,CIVIL1  ,CBHCODE ,  ,851 GLENWOOD AV,VACANT  ,N,1405160,424008,'010800010108      ,1
CONDEMNATION,820,538,HALE AV                         ,ORDERS  ,CBHCODE ,  ,538 HALE AV,VACANT  ,N,1402341,421662,'010600030017      ,1
KEEP THE BUILDING VACANT,820,542,HALE AV                         ,ORDERS  ,CBHCODE ,  ,542 HALE AV,VACANT  ,N,1402395,421658,'010600030018      ,1
CONDEMNATION,820,551,HALE AV                         ,HAZARD  ,CBHCODE ,  ,551 HALE AV,VACANT  ,N,1402557,421446,'010600030033      ,1
KEEP THE BUILDING VACANT,820,569,HALE AV                         ,DIVERSN ,CBHCODE ,  ,569 HALE AV,VACANT  ,N,1402758,421461,'010600030053      ,1
CONDEMNATION,820,571,HALE AV                         ,HAZARD  ,CBHCODE ,  ,571 HALE AV,VACANT  ,N,1402805,421456,'010600030028      ,1
CONDEMNATION,820,577,HALE AV                         ,HAZARD  ,CBHCODE ,  ,577 HALE AV,VACANT  ,N,1402888,421449,'010600030027      ,1
CONDEMNATION,820,580,HALE AV                         ,HAZARD  ,CBHCODE ,  ,580 HALE AV,VACANT  ,N,1402960,421625,'010600030115      ,1
CONDEMNATION,820,3464,HALLWOOD PL                     ,FINLNOTC,CBHCODE ,  ,3464 HALLWOOD PL,VACANT  ,N,1402285,422305,'010700080063      ,1
CONDEMNATION,820,3413,HARTFORD PL                     ,ORDERS  ,CBHCODE ,  ,3413 HARTFORD PL,VACANT  ,N,1404156,421973,'010700100102      ,1
KEEP THE BUILDING VACANT,820,3415,HARTFORD PL                     ,ORDERS  ,CBHCODE ,  ,3415 HARTFORD PL,VACANT  ,N,1404163,422013,'010700100095      ,1
KEEP THE BUILDING VACANT,820,3242,HARVEY AV                       ,ORDERS  ,CBHCODE ,  ,3242 HARVEY AV,VACANT  ,N,1401834,421250,'010600030041      ,1
CONDEMNATION,820,3402,HARVEY AV                       ,CIVIL1  ,CBHCODE ,  ,3402 HARVEY AV,VACANT  ,N,1401881,421779,'010600030004      ,1
CONDEMNATION,820,3408,HARVEY AV                       ,ORDERS  ,CBHCODE ,  ,3408 HARVEY AV,VACANT  ,N,1401888,421925,'010600030001      ,1
CONDEMNATION,850,3562,HAVEN ST                        ,PREPROS ,CBHCODE ,  ,3562 HAVEN ST,VACANT  ,N,1399918,424339,'021600440076      ,1
CONDEMNATION,850,3562,HAVEN ST                        ,ORDERS  ,CBHCODE ,  ,3562 HAVEN ST,VACANT  ,N,1399918,424339,'021600440076      ,1
KEEP THE BUILDING VACANT,850,304,HEARNE AV                       ,ORDERS  ,CBHCODE ,  ,304 HEARNE AV,VACANT  ,N,1400546,422686,'011300040061      ,1
CONDEMNATION,420,515,HICKMAN AV                      ,PREPROS ,CBHCODE ,  ,515 HICKMAN AV,VACANT  ,N,1401933,420522,'010600020138      ,1
KEEP THE BUILDING VACANT,420,520,HICKMAN AV                      ,ORDERS  ,CBHCODE ,  ,520 HICKMAN AV,VACANT  ,N,1402015,420661,'010600020123      ,1
KEEP THE BUILDING VACANT,420,523,HICKMAN AV                      ,ORDERS  ,CBHCODE ,  ,523 HICKMAN AV,VACANT  ,N,1401923,420360,'010600010041      ,1
CONDEMNATION,420,533,HICKMAN AV                      ,HAZARD  ,CBHCODE ,  ,533 HICKMAN AV,VACANT  ,N,1402104,420484,'010600020142      ,1
CONDEMNATION,810,824,HUTCHINS AV                     ,ORDERS  ,CBHCODE ,  ,824 HUTCHINS AV,VACANT  ,N,1404501,423355,'010800010087      ,1
KEEP THE BUILDING VACANT,810,838,HUTCHINS AV                     ,CIVIL1  ,CBHCODE ,  ,838 HUTCHINS AV,VACANT  ,N,1404841,423336,'010800010095      ,1
CONDEMNATION,810,848,HUTCHINS AV                     ,HAZARD  ,CBHCODE ,  ,848 HUTCHINS AV,VACANT  ,N,1405040,423308,'010800010099      ,1
CONDEMNATION,820,3461,KNOTT ST                        ,FINLNOTC,CBHCODE ,  ,3461 KNOTT ST,VACANT  ,N,1402833,422771,'010700080119      ,1
CONDEMNATION,810,866,LEXINGTON AV                    ,PREPROS ,CBHCODE ,  ,866 LEXINGTON AV,VACANT  ,N,1405030,423784,'010800010127      ,1
KEEP THE BUILDING VACANT,810,873,LEXINGTON AV                    ,CRIMINAL,CBHCODE ,  ,873 LEXINGTON AV,VACANT  ,N,1405111,423478,'010800010073      ,1
KEEP THE BUILDING VACANT,810,880,LEXINGTON AV                    ,HAZARD  ,CBHCODE ,  ,880 LEXINGTON AV,VACANT  ,N,1405265,423627,'010800010050      ,1
CONDEMNATION,810,884,LEXINGTON AV                    ,ORDERS  ,CBHCODE ,  ,884 LEXINGTON AV,VACANT  ,N,1405320,423619,'010800010051      ,1
CONDEMNATION,810,887,LEXINGTON AV                    ,ORDERS  ,CBHCODE ,  ,887 LEXINGTON AV,VACANT  ,N,1405299,423467,'010800010077      ,1
CONDEMNATION,3,911,LEXINGTON AV                    ,ORDERS  ,CBHCODE ,  ,911 LEXINGTON AV,VACANT  ,N,1405657,423443,'010800020020      ,1
CONDEMNATION,810,918,LEXINGTON AV                    ,CIVIL1  ,CBHCODE ,  ,918 LEXINGTON AV,VACANT  ,N,1405814,423589,'010800020008      ,1
CONDEMNATION,420,620,LINCOLN AV                      ,HAZARD  ,CBHCODE ,  ,620 LINCOLN AV,VACANT  ,N,1402345,418940,'009100020104      ,1
CONDEMNATION,850,3545,LOSSING ST                      ,HAZARD  ,CBHCODE ,  ,3545 LOSSING ST,VACANT  ,N,1398613,425008,'021600470165      ,1
CONDEMNATION,850,3548,LOSSING ST                      ,CIVIL1  ,CBHCODE ,  ,3548 LOSSING ST,VACANT  ,N,1398741,425010,'021600470028      ,1
KEEP THE BUILDING VACANT,810,3537,MAGILL AV                       ,ORDERS  ,CBHCODE ,  ,3537 MAGILL AV,VACANT  ,N,1405770,423318,'010800020048      ,1
CONDEMNATION,820,515,MAPLE AV                        ,HAZARD  ,CBHCODE ,  ,515 MAPLE AV,VACANT  ,N,1402063,422353,'010700070025      ,1
KEEP THE BUILDING VACANT,820,615,MAPLE AV                        ,ORDERS  ,CBHCODE ,  ,615 MAPLE AV,VACANT  ,N,1403050,422113,'010700080080      ,1
CONDEMNATION,820,3310,MILTON CT                       ,ORDERS  ,CBHCODE ,  ,3310 MILTON CT,VACANT  ,N,1404065,421424,'010500030084      ,1
KEEP THE BUILDING VACANT,850,219,NORTHERN AV                     ,CIVIL1  ,CBHCODE ,  ,219 NORTHERN AV,VACANT  ,N,1400057,422898,'011300050032      ,1
KEEP THE BUILDING VACANT,850,325,NORTHERN AV                     ,FINLNOTC,CBHCODE ,  ,325 NORTHERN AV,VACANT  ,N,1400850,422847,'011300040040      ,1
CONDEMNATION,820,3312,PERKINS AV                      ,CIVIL2  ,CBHCODE ,  ,3312 PERKINS AV,VACANT  ,N,1403890,421504,'010500030040      ,1
CONDEMNATION,820,535,PROSPECT PL                     ,ORDERS  ,CBHCODE ,  ,535 PROSPECT PL,VACANT  ,N,1402423,422532,'010700080112      ,1
CONDEMNATION,850,3536,PURDUE ST                       ,ORDERS  ,CBHCODE ,  ,3536 PURDUE ST,VACANT  ,N,1399392,424091,'021600440013      ,1
CONDEMNATION,420,3023,READING RD                      ,ORDERS  ,CBHCODEC,  ,3023 READING RD,VACANT  ,N,1402030,419198,'009100020035      ,1
CONDEMNATION,420,3136,READING RD                      ,FINLNOTC,CBHCODEC,  ,3136 READING RD,VACANT  ,N,1402286,420020,'010500010035      ,1
KEEP THE BUILDING VACANT,820,3309,READING RD                      ,CIVIL2  ,CBHCODE ,  ,3309 READING RD,VACANT  ,N,1402627,420980,'010600030108      ,1
CONDEMNATION,820,3341,READING RD                      ,CIVIL1  ,CBHCODE ,  ,3341 READING RD,VACANT  ,N,1402850,421293,'010600030057      ,1
KEEP THE BUILDING VACANT,830,3569,READING RD                      ,PREPROS ,CBHCODE ,  ,3569 READING RD,VACANT  ,N,1404221,423944,'011200050066      ,1
CONDEMNATION,420,521,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,521 RIDGEWAY AV,VACANT  ,N,1401988,420796,'010600020107      ,1
CONDEMNATION,820,524,RIDGEWAY AV                     ,HAZARD  ,CBHCODE ,  ,524 RIDGEWAY AV,VACANT  ,N,1402099,420922,'010600020050      ,1
CONDEMNATION,420,527,RIDGEWAY AV                     ,FINLNOTC,CBHCODE ,  ,527 RIDGEWAY AV,VACANT  ,N,1402035,420795,'010600020108      ,1
CONDEMNATION,820,538,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,538 RIDGEWAY AV,VACANT  ,N,1402264,420902,'010600020055      ,1
CONDEMNATION,820,702,RIDGEWAY AV                     ,CIVIL2  ,CBHCODE ,  ,702 RIDGEWAY AV,VACANT  ,N,1402742,420895,'010500020008      ,1
CONDEMNATION,420,717,RIDGEWAY AV                     ,HAZARD  ,CBHCODE ,  ,717 RIDGEWAY AV,VACANT  ,N,1402934,420728,'010500020030      ,1
KEEP THE BUILDING VACANT,820,770,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,770 RIDGEWAY AV,VACANT  ,N,1403557,421297,'010500030012      ,1
CONDEMNATION,420,777,RIDGEWAY AV                     ,HAZARD  ,CBHCODE ,  ,777 RIDGEWAY AV,VACANT  ,N,1403740,421209,'010500030047      ,1
KEEP THE BUILDING VACANT,420,807,RIDGEWAY AV                     ,CIVIL2  ,CBHCODE ,  ,807 RIDGEWAY AV,VACANT  ,N,1403913,421257,'010500030091      ,1
KEEP THE BUILDING VACANT,420,807,RIDGEWAY AV                     ,CIVIL2  ,CBHCODE ,  ,807 RIDGEWAY AV,VACANT  ,N,1403913,421257,'010500030091      ,1
KEEP THE BUILDING VACANT,820,833,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,833 RIDGEWAY AV,VACANT  ,N,1404264,421272,'006000030102      ,1
KEEP THE BUILDING VACANT,820,833,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,833 RIDGEWAY AV,VACANT  ,N,1404264,421272,'006000030102      ,1
KEEP THE BUILDING VACANT,820,839,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,839 RIDGEWAY AV,VACANT  ,N,1404370,421303,'006000030046      ,1
KEEP THE BUILDING VACANT,820,839,RIDGEWAY AV                     ,FINLNOTC,CBHCODE ,  ,839 RIDGEWAY AV,VACANT  ,N,1404370,421303,'006000030046      ,1
CONDEMNATION,820,846,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,846 RIDGEWAY AV,VACANT  ,N,1404462,421503,'006000030021      ,1
CONDEMNATION,820,846,RIDGEWAY AV                     ,CIVIL1  ,CBHCODE ,  ,846 RIDGEWAY AV,VACANT  ,N,1404462,421503,'006000030021      ,1
KEEP THE BUILDING VACANT,820,883,RIDGEWAY AV                     ,ORDERS  ,CBHCODE ,  ,883 RIDGEWAY AV,VACANT  ,N,1405148,421609,'006000030109      ,1
KEEP THE BUILDING VACANT,850,216,ROCKDALE AV                     ,FINLNOTC,CBHCODE ,  ,216 ROCKDALE AV,VACANT  ,N,1400064,423638,'021600440168      ,1
CONDEMNATION,820,529,ROCKDALE AV                     ,ORDERS  ,CBHCODE ,  ,529 ROCKDALE AV,VACANT  ,N,1402360,423087,'011300010063      ,1
CONDEMNATION,820,853,ROCKDALE AV                     ,FINLNOTC,CBHCODE ,  ,853 ROCKDALE AV,VACANT  ,N,1404777,422804,'010700110053      ,1
CONDEMNATION,810,862,ROCKDALE AV                     ,HAZARD  ,CBHCODE ,  ,862 ROCKDALE AV,VACANT  ,N,1404961,422943,'010700110033      ,1
KEEP THE BUILDING VACANT,820,879,ROCKDALE AV                     ,ORDERS  ,CBHCODE ,  ,879 ROCKDALE AV,VACANT  ,N,1405168,422778,'010700110043      ,1
CONDEMNATION,420,3114,SAVOY PL                        ,ORDERS  ,CBHCODE ,  ,3114 SAVOY PL,VACANT  ,N,1402505,419704,'010500010057      ,1
CONDEMNATION,420,3132,SAVOY PL                        ,HAZARD  ,CBHCODE ,  ,3132 SAVOY PL,VACANT  ,N,1402541,419923,'010500010048      ,1
KEEP THE BUILDING VACANT,820,544,STEWART PL                      ,ORDERS  ,CBHCODE ,  ,544 STEWART PL,VACANT  ,N,1402440,421269,'010600030059      ,1
CONDEMNATION,850,159,TALLANT AV                      ,FINLNOTC,CBHCODE ,  ,159 TALLANT AV,VACANT  ,N,1399705,424354,'021600440159      ,1
CONDEMNATION,420,616,UNION ST                        ,CIVIL1  ,CBHCODE ,  ,616 UNION ST,VACANT  ,N,1402443,420028,'010500010028      ,1
KEEP THE BUILDING VACANT,420,626,UNION ST                        ,ORDERS  ,CBHCODE ,  ,626 UNION ST,VACANT  ,N,1402561,420016,'010500010023      ,1
KEEP THE BUILDING VACANT,830,3565,VAN ANTWERP PL                  ,ORDERS  ,CBHCODE ,  ,3565 VAN ANTWERP PL,VACANT  ,N,1403060,424033,'011200060047      ,1
KEEP THE BUILDING VACANT,830,3565,VAN ANTWERP PL                  ,CIVIL1  ,CBHCODE ,  ,3565 VAN ANTWERP PL,VACANT  ,N,1403060,424033,'011200060047      ,1
CONDEMNATION,420,3131,VAN BUREN AV                    ,HAZARD  ,CBHCODE ,  ,3131 VAN BUREN AV,VACANT  ,N,1402990,419895,'010500010274      ,1
CONDEMNATION,420,3153,VAN BUREN AV                    ,ORDERS  ,CBHCODE ,  ,3153 VAN BUREN AV,VACANT  ,N,1402955,420180,'010500010110      ,1
CONDEMNATION,850,3502,VINE ST                         ,ORDERS  ,CBHCODE ,  ,3502 VINE ST,VACANT  ,N,1397908,423434,'021600420031      ,1
CONDEMNATION,850,3504,VINE ST                         ,ORDERS  ,CBHCODE ,  ,3504 VINE ST,VACANT  ,N,1397875,423443,'021600420207      ,1
CONDEMNATION,850,3506,VINE ST                         ,ORDERS  ,CBHCODE ,  ,3506 VINE ST,VACANT  ,N,1397837,423446,'021600420032      ,1
KEEP THE BUILDING VACANT,850,3524,VINE ST                         ,FINLNOTC,CBHCODE ,  ,3524 VINE ST,VACANT  ,N,1397607,423742,'021600420205      ,1
KEEP THE BUILDING VACANT,850,3534,VINE ST                         ,PREPROS ,CBHCODE ,  ,3534 VINE ST,VACANT  ,N,1397651,423898,'021600420006      ,1
CONDEMNATION,850,3724,VINE ST                         ,CIVIL1  ,CBHCODE ,  ,3724 VINE ST,VACANT  ,N,1399011,425866,'021600460012      ,1
CONDEMNATION,850,3762,VINE ST                         ,FINLNOTC,CBHCODE ,  ,3762 VINE ST,VACANT  ,N,1399351,426213,'021600460086      ,1
CONDEMNATION,850,3762,VINE ST                         ,ORDERS  ,CBHCODE ,  ,3762 VINE ST,VACANT  ,N,1399351,426213,'021600460086      ,1
CONDEMNATION,850,3784,VINE ST                         ,FINLNOTC,CBHCODE ,  ,3784 VINE ST,VACANT  ,N,1399440,426356,'021600390090      ,1
KEEP THE BUILDING VACANT,850,3788,VINE ST                         ,CRIMINAL,CBHCODE ,  ,3788 VINE ST,VACANT  ,N,1399490,426439,'021600390090      ,1
CONDEMNATION,850,3790,VINE ST                         ,FINLNOTC,CBHCODE ,  ,3790 VINE ST,VACANT  ,N,1399520,426498,'021600390089      ,1
CONDEMNATION,850,3800,VINE ST                         ,CIVIL1  ,CBHCODE ,  ,3800 VINE ST,VACANT  ,N,1399605,426669,'021600390014      ,1
KEEP THE BUILDING VACANT,420,730,WHITTIER ST                     ,ORDERS  ,CBHCODE ,  ,730 WHITTIER ST,VACANT  ,N,1402762,420429,'010500020042      ,1
KEEP THE BUILDING VACANT,420,755,WHITTIER ST                     ,CIVIL2  ,CBHCODE ,  ,755 WHITTIER ST,VACANT  ,N,1403096,420285,'010500010113      ,1
KEEP THE BUILDING VACANT,850,3556,WILSON AV                       ,CIVIL1  ,CBHCODE ,  ,3556 WILSON AV,VACANT  ,N,1400676,424180,'021600430020      ,1
KEEP THE BUILDING VACANT,850,3561,WILSON AV                       ,FINLNOTC,CBHCODE ,  ,3561 WILSON AV,VACANT  ,N,1400527,424287,'021600440162      ,1
CONDEMNATION,820,841,WINDHAM AV                      ,FINLNOTC,CBHCODE ,  ,841 WINDHAM AV,VACANT  ,N,1404233,422536,'010700100114      ,1
KEEP THE BUILDING VACANT,790,1665,ANITA PL                        ,ORDERS  ,CBHCODE ,  ,1665 ANITA PL,VACANT  ,N,1410720,434021,'011700050197      ,2
KEEP THE BUILDING VACANT,790,1219,CALIFORNIA AV                   ,ORDERS  ,CBHCODE ,  ,1219 CALIFORNIA AV,VACANT  ,N,1408109,434434,'013100060192      ,2
KEEP THE BUILDING VACANT,790,1643,CALIFORNIA AV                   ,ORDERS  ,CBHCODE ,  ,1643 CALIFORNIA AV,VACANT  ,N,1410460,434335,'011700050081      ,2
KEEP THE BUILDING VACANT ,790,1668,CALIFORNIA AV                   ,ORDERS  ,CBHCODEC,  ,1668 CALIFORNIA AV,VACANT  ,N,1410780,434437,'011700050075      ,2
KEEP THE BUILDING VACANT,790,1224,CAROLINA AV                     ,ORDERS  ,CBHCODE ,  ,1224 CAROLINA AV,VACANT  ,N,1408191,434303,'013100060202      ,2
KEEP THE BUILDING VACANT,790,1315,CAROLINA AV                     ,ORDERS  ,CBHCODE ,  ,1315 CAROLINA AV,VACANT  ,N,1408628,434149,'013100060250      ,2
KEEP THE BUILDING VACANT,790,1321,CAROLINA AV                     ,FINLNOTC,CBHCODE ,  ,1321 CAROLINA AV,VACANT  ,N,1408727,434144,'013100060248      ,2
